"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0S790","2020-02-21 00:00:00","236.000","333.000","1.200","17.500","0.750","1001.700","","0.000","-99.000","-99.000","-99.000","23.300","","14.500",""
"C0R560","2020-02-21 00:00:00","22.000","333.000","0.800","18.300","0.830","1023.600","","0.000","-99.000","-99.000","-99.000","24.600","","14.800",""
"C0C630","2020-02-21 00:00:00","209.000","89.000","2.300","15.400","0.890","1001.600","","0.000","-99.000","-99.000","-99.000","21.100","","12.200",""
"C0D550","2020-02-21 00:00:00","1956.000","0.000","0.000","7.300","0.820","818.500","","0.000","-99.000","-99.000","-99.000","14.400","","6.200",""
"C0T9E0","2020-02-21 00:00:00","415.000","0.000","0.000","14.700","0.920","981.300","","0.500","-99.000","-99.000","-99.000","20.100","","12.300",""
"C0U960","2020-02-21 00:00:00","1885.000","254.000","2.200","6.400","0.990","822.800","","4.500","-99.000","-99.000","-99.000","9.500","","1.800",""
"C0AI30","2020-02-21 00:00:00","26.000","72.000","5.200","18.700","0.870","1024.300","","0.000","-99.000","-99.000","-99.000","21.400","","14.900",""
"C0R240","2020-02-21 00:00:00","87.000","0.000","0.000","14.400","0.930","1014.800","","0.000","-99.000","-99.000","-99.000","24.600","","12.300",""
"C0AD30","2020-02-21 00:00:00","20.000","68.000","1.100","19.200","0.740","1022.000","","0.000","-99.000","-99.000","-99.000","22.900","","15.100",""
"C0D430","2020-02-21 00:00:00","87.000","0.000","0.000","12.100","0.980","1014.800","","0.000","-99.000","-99.000","-99.000","23.700","","9.500",""
"C0X210","2020-02-21 00:00:00","38.000","0.000","0.000","16.200","0.980","1019.600","","0.000","-99.000","-99.000","-99.000","23.800","","12.600",""
"C0R680","2020-02-21 00:00:00","13.000","67.000","9.400","22.500","0.650","1024.000","","0.000","15.900","71.000","","23.000","","19.600",""
"C0AH10","2020-02-21 00:00:00","30.000","82.000","3.000","18.600","1.000","1022.500","","0.000","-99.000","-99.000","-99.000","22.200","","15.000",""
"C0E880","2020-02-21 00:00:00","507.000","217.000","1.300","16.200","0.880","966.600","","0.000","-99.000","-99.000","-99.000","20.500","","12.600",""
"C0O960","2020-02-21 00:00:00","112.000","30.000","1.400","16.100","0.930","1012.500","","0.000","-99.000","-99.000","-99.000","25.600","","12.600",""
"C0H950","2020-02-21 00:00:00","192.000","0.000","0.000","13.500","0.990","1003.600","","0.000","-99.000","-99.000","-99.000","24.100","","9.400",""
"C0SA60","2020-02-21 00:00:00","6.000","346.000","1.700","18.500","0.760","1026.400","","0.000","-99.000","-99.000","-99.000","23.700","","16.200",""
"C0A540","2020-02-21 00:00:00","401.000","82.000","1.300","16.000","0.870","979.500","","1.000","-99.000","-99.000","-99.000","18.700","","10.600",""
"C0C690","2020-02-21 00:00:00","242.000","162.000","2.000","16.400","0.770","997.400","","0.000","-99.000","-99.000","-99.000","21.100","","12.500",""
"C0V370","2020-02-21 00:00:00","74.000","0.000","0.000","15.300","0.990","1017.700","","0.000","-99.000","-99.000","-99.000","26.000","","10.900",""
"C0I110","2020-02-21 00:00:00","161.000","169.000","0.500","15.900","0.920","1007.700","","0.000","-99.000","-99.000","-99.000","24.000","","12.100",""
"C0M750","2020-02-21 00:00:00","10.000","24.000","1.800","17.500","0.900","1024.500","","0.000","-99.000","-99.000","-99.000","21.000","","14.400",""
"C0R340","2020-02-21 00:00:00","230.000","27.000","2.500","17.900","0.820","998.700","","0.000","-99.000","-99.000","-99.000","22.500","","13.600",""
"C0U970","2020-02-21 00:00:00","7.000","236.000","1.700","17.200","0.900","1028.000","","0.000","-99.000","-99.000","-99.000","20.500","","13.800",""
"C0X300","2020-02-21 00:00:00","70.000","0.000","0.000","14.800","0.970","1017.300","","0.000","-99.000","-99.000","-99.000","23.800","","11.100",""
"C0R480","2020-02-21 00:00:00","57.000","8.000","1.100","17.600","0.880","1019.100","","0.000","-99.000","-99.000","-99.000","25.200","","14.300",""
"C0A9E0","2020-02-21 00:00:00","26.000","97.000","0.800","18.700","0.760","1024.200","","0.000","-99.000","-99.000","-99.000","22.700","","14.500",""
"C0R590","2020-02-21 00:00:00","72.000","16.000","1.000","17.800","0.990","1017.100","","0.000","-99.000","-99.000","-99.000","25.300","","14.100",""
"C0G820","2020-02-21 00:00:00","29.000","0.000","0.000","15.600","0.950","1022.900","","0.000","-99.000","-99.000","-99.000","23.600","","12.500",""
"C0U600","2020-02-21 00:00:00","10.000","217.000","0.400","17.000","0.990","1026.200","","0.000","-99.000","-99.000","-99.000","20.900","","13.200",""
"C0U910","2020-02-21 00:00:00","17.000","277.000","1.300","17.400","0.870","1025.500","","0.000","-99.000","-99.000","-99.000","20.400","","13.800",""
"C0V630","2020-02-21 00:00:00","19.000","359.000","1.600","18.000","0.860","1025.700","","0.000","-99.000","-99.000","-99.000","22.000","","15.100",""
"C0D650","2020-02-21 00:00:00","97.000","43.000","1.000","16.100","0.870","1014.700","","0.000","-99.000","-99.000","-99.000","19.700","","13.600",""
"C0K510","2020-02-21 00:00:00","10.000","337.000","1.000","16.600","0.910","1024.000","","0.000","-99.000","-99.000","-99.000","22.000","","13.800",""
"C0V360","2020-02-21 00:00:00","94.000","14.000","0.300","14.200","0.960","1014.500","","0.000","-99.000","-99.000","-99.000","27.700","","10.200",""
"C0M780","2020-02-21 00:00:00","30.000","0.000","0.000","16.500","0.920","1022.700","","0.000","-99.000","-99.000","-99.000","23.700","","13.700",""
"C0K530","2020-02-21 00:00:00","12.000","28.000","1.700","17.800","0.900","1024.500","","0.000","-99.000","-99.000","-99.000","20.800","","14.400",""
"C0X120","2020-02-21 00:00:00","28.000","354.000","1.700","17.300","0.950","1023.800","","0.000","-99.000","-99.000","-99.000","22.800","","14.100",""
"C0G900","2020-02-21 00:00:00","20.000","30.000","2.000","18.200","0.910","1022.100","","0.000","-99.000","-99.000","-99.000","20.400","","15.900",""
"C0AD40","2020-02-21 00:00:00","32.000","41.000","1.200","17.400","0.840","1022.300","","0.000","-99.000","-99.000","-99.000","22.200","","11.800",""
"C0UA00","2020-02-21 00:00:00","392.000","0.000","0.000","13.800","0.980","983.100","","0.500","-99.000","-99.000","-99.000","21.600","","9.700",""
"C0I080","2020-02-21 00:00:00","536.000","258.000","0.500","13.600","0.900","966.800","","0.000","-99.000","-99.000","-99.000","23.000","","10.300",""
"C0UA30","2020-02-21 00:00:00","1397.000","231.000","0.800","8.900","1.000","870.900","","2.000","-99.000","-99.000","-99.000","13.100","","6.600",""
"C0Z270","2020-02-21 00:00:00","343.000","252.000","2.600","15.700","0.900","988.900","","0.000","-99.000","-99.000","-99.000","20.100","","13.400",""
"C0G750","2020-02-21 00:00:00","31.000","30.000","0.300","16.100","0.910","1023.200","","0.000","-99.000","-99.000","-99.000","21.500","","13.700",""
"C0A550","2020-02-21 00:00:00","422.000","0.000","0.000","14.500","1.000","978.700","","5.000","-99.000","-99.000","-99.000","18.600","","9.900",""
"C0G830","2020-02-21 00:00:00","27.000","14.000","1.100","16.300","0.970","1020.900","","0.000","-99.000","-99.000","-99.000","21.300","","13.800",""
"C0R640","2020-02-21 00:00:00","21.000","20.000","1.400","19.100","0.850","1024.000","","0.000","-99.000","-99.000","-99.000","23.600","","15.700",""
"C0D580","2020-02-21 00:00:00","120.000","0.000","0.000","12.100","0.970","1011.900","","0.000","-99.000","-99.000","-99.000","23.200","","10.000",""
"C0M660","2020-02-21 00:00:00","40.000","299.000","0.700","16.400","0.950","1021.800","","0.000","-99.000","-99.000","-99.000","21.700","","13.400",""
"C0K330","2020-02-21 00:00:00","38.000","297.000","0.400","15.900","0.990","1021.000","","0.000","-99.000","-99.000","-99.000","22.600","","13.000",""
"C0E830","2020-02-21 00:00:00","37.000","79.000","0.800","15.900","0.900","1021.400","","0.000","-99.000","-99.000","-99.000","20.200","","13.700",""
"C0X290","2020-02-21 00:00:00","10.000","30.000","2.900","18.200","0.910","1024.600","","0.000","-99.000","-99.000","-99.000","20.500","","15.300",""
"C0U760","2020-02-21 00:00:00","22.000","0.000","0.000","16.300","0.990","1027.000","","1.500","-99.000","-99.000","-99.000","21.400","","12.300",""
"C0U780","2020-02-21 00:00:00","15.000","316.000","0.500","17.400","0.990","1026.400","","0.000","-99.000","-99.000","-99.000","20.600","","13.800",""
"C0H9C0","2020-02-21 00:00:00","3402.000","274.000","1.300","0.300","0.380","680.400","","0.000","-99.000","-99.000","-99.000","5.700","","-2.700",""
